PMID,Country,Year
17010535,Germany,2007
17234368,Russia,2007
18178340,Italy,2008
18817855,Japan,2008
19000751,Italy,2009
19095050,China,2009
19733223,Italy,2009
21397669,USA,2011
21549185,Russia,2011
21712076,Ukraine,2011
22037487,Japan,2012
22093877,Iran,2012
22326267,Egypt,2012
22326521,Iran,2012
22445608,Cyprus,2012
22565189,China,2012
22692007,USA,2012
22759511,Tunisia,2012
22789864,China,2012
22842189,China,2014
22846364,India,2012
23018043,China,2012
23137637,Korea,2013
23266626,Italy,2013
23266643,Japan,2013
23266808,China,2013
23481307,Tunisia,2014
23570881,Taiwan,2013
23644027,China,2013
23831511,Poland,2013
23860323,Germany,2013
23900199,Mexico,2013
23933414,Egypt,2013
24120392,China,2014
24295890,China,2014
24582978,Japan,2014
24680773,China,2014
25014136,China,2014
25158131,Japan,2014
25200494,Germany,2014
25284510,Iran,2014
25481456,USA,2015
25701598,China,2015
25735572,China,2015
25746323,China,2015
25863178,China,2015
25895478,China,2015
25917967,India,2015
26275944,China,2015
26283150,Germany,2016
26364572,China,2016
26581508,China,2016
26642897,Iran,2016
26680099,China,2016
26723509,China,2016
26774799,USA,2016
26930363,China,2016
26956036,China,2016
27048832,China,2016
27154818,Japan,2016
27282281,China,2016
27451075,China,2016
27693370,China,2016
27743994,USA,2016
27871924,China,2017
27884772,China,2017
27916718,China,2017
28039034,Morocco,2017
28042090,China,2017
28043921,China,2017
28109853,Brazil,2017
28122267,India,2017
28163094,China,2017
28259690,Iran,2017
28259691,Iran,2017
28536082,China,2017
28571676,China,2017
28579269,China,2017
28603075,China,2017
28629825,China,2017
28633916,Iran,2017
28687332,China,2017
28710033,India,2017
28756022,USA,2017
28760550,China,2017
28764977,China,2017
28843520,China,2017
29030253,India,2018
29054762,China,2018
29128633,China,2018
29162510,India,2018
29196257,China,2018
29248580,China,2018
29253611,China,2018
29274909,India,2018
29307852,China,2018
29309884,China,2018
29414692,China,2018
29427737,China,2018
29432829,Egypt,2018
29466765,Brazil,2018
29524580,China,2018
29559347,China,2018
29653231,China,2018
29684484,China,2018
29702185,China,2018
29709639,China,2018
29738836,China,2018
29758297,Egypt,2018
29783075,China,2018
29792952,Turkey,2018
29886033,Iran,2018
29908280,China,2018
29936266,China,2018
29944950,India,2018
29969696,Iran,2018
30010037,India,2018
30098425,China,2018
30098431,China,2018
30103008,China,2018
30149063,China,2018
30179681,China,2018
30180963,India,2018
30201337,China,2018
30201338,China,2018
19799973,Canada,2010
26719042,China,2016
21784138,South Africa,2011
