PERC,Corp,Journal,Year,Original_Value,lbl,Total_Published
1.1,All other Countries,Oncology Reports (2014-2018),2014,1.115760112,NA,717
7.25,China,Oncology Reports (2014-2018),2014,7.252440725,n=60,717
0.6,All other Countries,Gene (2014-2018),2014,0.675675676,NA,888
0.6,China,Gene (2014-2018),2014,0.563063063,n=10,888
1.6,All other Countries,Oncology Reports (2014-2018),2015,1.570680628,NA,764
11,China,Oncology Reports (2014-2018),2015,10.9947644,n=96,764
0.3,All other Countries,Gene (2014-2018),2015,0.277777778,NA,720
0.8,China,Gene (2014-2018),2015,0.833333,n=8,720
0.9,All other Countries,Oncology Reports (2014-2018),2016,0.934579439,NA,855
11.1,China,Oncology Reports (2014-2018),2016,11.11111,n=103,855
0.7,All other Countries,Gene (2014-2018),2016,0.699300699,NA,715
1.5,China,Gene (2014-2018),2016,1.538461538,n=16,715
1,All other Countries,Oncology Reports (2014-2018),2017,0.981595092,NA,814
11,China,Oncology Reports (2014-2018),2017,10.9202454,n=97,814
1.5,All other Countries,Gene (2014-2018),2017,1.4571949,NA,549
2.7,China,Gene (2014-2018),2017,2.732240437,n=23,549
0.7,All other Countries,Oncology Reports (2014-2018),2018,0.709219858,NA,704
10.6,China,Oncology Reports (2014-2018),2018,10.63829787,n=80,704
1.3,All other Countries,Gene (2014-2018),2018,1.380042,NA,942
2.8,China,Gene (2014-2018),2018,2.760084926,n=38,942
0.5,All other Countries,Gene (2007-2013),2007,0.456621005,NA,438
NA,China,Gene (2007-2013),2007,NA,n=2,438
0.7,All other Countries,Gene (2007-2013),2008,0.677966102,NA,295
0.6,China,Gene (2007-2013),2008,NA,n=2,295
0.8,All other Countries,Gene (2007-2013),2009,0.754716981,NA,265
0.4,China,Gene (2007-2013),2009,0.377358,n=3,265
0.8,All other Countries,Gene (2007-2013),2010,0.757575,NA,132
NA,China,Gene (2007-2013),2010,NA,n=1,132
1.8,All other Countries,Gene (2007-2013),2011,1.777777778,NA,225
NA,China,Gene (2007-2013),2011,NA,n=4,225
1,All other Countries,Gene (2007-2013),2012,0.951248514,NA,841
0.4,China,Gene (2007-2013),2012,0.356718,n=11,841
0.8,All other Countries,Gene (2007-2013),2013,0.764818356,NA,1046
0.2,China,Gene (2007-2013),2013,0.191205,n=10,1046
