PMID,Country,Year
24297570,Brazil,2014
26573109,Chile,2016
25230779,China,2014
25322930,China,2014
25335112,China,2014
25176258,China,2014
24715151,China,2014
25174454,China,2014
25175884,China,2014
24676882,China,2014
24604520,China,2014
25017049,China,2014
24402230,China,2014
24890613,China,2014
25176183,China,2014
25109623,China,2014
24253664,China,2014
24573322,China,2014
24573489,China,2014
25333643,China,2014
24626574,China,2014
24399134,China,2014
24626955,China,2014
24402122,China,2014
24912530,China,2014
25310451,China,2014
25242535,China,2014
24891117,China,2014
25231933,China,2014
25189124,China,2014
24700316,China,2014
24402374,China,2014
24535036,China,2014
25199998,China,2014
24969314,China,2014
25174621,China,2014
24452416,China,2014
24700142,China,2014
24297477,China,2014
24969680,China,2014
25069486,China,2014
25190103,China,2014
25109282,China,2014
24700112,China,2014
25190487,China,2014
24626771,China,2014
25176450,China,2014
24378899,China,2014
25175178,China,2014
24190591,China,2014
24899100,China,2014
24890092,China,2014
24573354,China,2014
25322760,China,2014
25634668,China,2015
26398820,China,2015
25812695,China,2015
25524805,China,2015
25997995,China,2015
25573172,China,2015
25482044,China,2015
26503358,China,2015
25572427,China,2015
26351877,China,2015
25813250,China,2015
25812575,China,2015
25975960,China,2015
25585997,China,2015
25845681,China,2015
25738322,China,2015
25901555,China,2015
26397843,China,2015
26503336,China,2015
26238396,China,2015
25998224,China,2015
26034878,China,2015
26239614,China,2015
26058359,China,2015
25955111,China,2015
25647524,China,2015
26238143,China,2015
25813398,China,2015
25963391,China,2015
25606801,China,2015
26044651,China,2015
25592200,China,2015
25954856,China,2015
25738530,China,2015
25682742,China,2015
25625234,China,2015
26035691,China,2015
26329007,China,2015
26397041,China,2015
25873431,China,2015
26352729,China,2015
25937206,China,2015
26239167,China,2015
25524659,China,2015
25370943,China,2015
25607636,China,2015
26370320,China,2015
25778742,China,2015
25384406,China,2015
26239725,China,2015
25501982,China,2015
26260613,China,2015
25998745,China,2015
25591821,China,2015
26058972,China,2015
25962360,China,2015
26151179,China,2015
25371324,China,2015
26178254,China,2015
25738917,China,2015
25976502,China,2015
26398698,China,2015
25434963,China,2015
25695395,China,2015
26238482,China,2015
26328747,China,2015
25633534,China,2015
25591548,China,2015
25405520,China,2015
25530340,China,2015
26323892,China,2015
25592872,China,2015
26498848,China,2015
26323553,China,2015
25872572,China,2015
26080853,China,2015
26177962,China,2015
26352531,China,2015
25937318,China,2015
26397740,China,2015
26329166,China,2015
26329778,China,2015
25846394,China,2015
27840964,China,2016
27279152,China,2016
28000886,China,2016
26985856,China,2016
26794135,China,2016
27748936,China,2016
26985864,China,2016
27840970,China,2016
26883473,China,2016
27779687,China,2016
27176594,China,2016
27461575,China,2016
27177091,China,2016
26936591,China,2016
26883573,China,2016
27600337,China,2016
27498787,China,2016
27374817,China,2016
27572934,China,2016
27574009,China,2016
26717894,China,2016
27634309,China,2016
27878264,China,2016
26573744,China,2016
27573572,China,2016
26781859,China,2016
27748910,China,2016
27805250,China,2016
26986503,China,2016
26935526,China,2016
27748903,China,2016
28004114,China,2016
27572146,China,2016
26549670,China,2016
26530130,China,2016
27176480,China,2016
27277541,China,2016
27121324,China,2016
27572553,China,2016
27633176,China,2016
26781452,China,2016
28035415,China,2016
28000876,China,2016
27498627,China,2016
27499071,China,2016
26531156,China,2016
27498785,China,2016
27878301,China,2016
26781989,China,2016
27373316,China,2016
27666964,China,2016
27574108,China,2016
26549498,China,2016
27278081,China,2016
27748920,China,2016
26706909,China,2016
27634022,China,2016
26782286,China,2016
26549165,China,2016
26782095,China,2016
26531241,China,2016
27176766,China,2016
27109614,China,2016
27461820,China,2016
